# name          ra           dec
e1  00:43:54.05    +41:26:26.0
e2  00:44:13.84    +41:49:3.9
e3  00:44:20.52    +41:17:51.1
e4  00:44:27.47    +41:51:50.0
e5  00:44:31.65    +41:36:12.4 
e6  00:44:38.75    +41:55:53.6
e7  00:44:54.37    +41:28:23.9
e8  00:45:11.82    +41:50:25.3
e9  00:45:11.85    +41:37:12.9
e12 00:45:39.00    +41:54:39.0
e13 00:45:39.70    +41:50:54.8
e14 00:45:43.48    +41:45:13.7
e15 00:45:46.81    +41:54:31.7
e17 00:39:44.70    +40:20:56.1
e18 00:39:58.21    +40:23:29.0
e22 00:40:34.61    +40:43:26.1
e24 00:44:12.16    +41:33:24.1
