# name ra dec
M31_ext1   00:43:54.050 +41:26:26.00
M31_ext2   00:44:13.840 +41:49:03.90
M31_ext3   00:44:20.520 +41:17:51.10
M31_ext4   00:44:27.470 +41:51:50.00
M31_ext5   00:44:31.659 +41:36:12.44
M31_ext6   00:44:38.706 +41:55:53.45
M31_ext7   00:44:54.370 +41:28:23.90
M31_ext8   00:45:11.820 +41:50:25.30
M31_ext9   00:45:11.850 +41:37:12.90
M31_ext10  00:45:12.732 +41:37:26.36
M31_ext11  00:45:35.400 +41:44:31.50
M31_ext12  00:45:39.000 +41:54:39.00
M31_ext13  00:45:39.700 +41:50:54.80
M31_ext14  00:45:43.461 +41:45:13.60
M31_ext15  00:45:46.810 +41:54:31.70
